Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0682456	3.0177288	1.572517054
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0715351	3.0177288	1.666336024
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0871607	2.8609632	2.1251239
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0781064	5.134068	1.856721186
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0912629	5.525964	2.248908067
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.099486	5.682744	2.500889176
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0822147	6.113844	1.977662905
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0986608	6.466572	2.475377875
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.106062	6.544944	2.705911517
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0945425	8.230176	2.348801959
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.005532822	0.803127753	0.071353751
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.012058203	1.717241352	0.186169415
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.043674612	3.071483722	0.907760816
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.092047697	4.369299325	2.272738007
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.123308992	5.159274042	3.25734678
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.16948549	6.750508825	4.818497067
Fuchs et al. 2017	TD	Acer	Acer pseudoplatanus	stem segment	Diffuse-porous	11.96	0.211781257	8.183748668	6.338945277
